seed_lot_id,species,storage_temperature,storage_relative_humidity,storage_duration_months,packaging_type,seed_moisture_content,dormancy_type,initial_viability,drying_method,germination_temperature,germination_relative_humidity,final_germination_percentage,viability_class,remaining_seed_stock,regeneration_needed
Bok_Choy_00000,Bok Choy,-0.2,42.06,103,glass_jar,4.85,none,85.38,air-dried,27.26,63.04,86.65,high,1971,no
Bok_Choy_00001,Bok Choy,34.69,69.92,436,plastic,8.0,physiological,69.06,vacuum_dried,23.13,70.75,2.68,non-viable,1745,yes
Bok_Choy_00002,Bok Choy,22.37,23.22,271,glass_jar,3.69,none,68.29,air-dried,21.78,94.76,64.89,low,2736,yes
Bok_Choy_00003,Bok Choy,41.35,54.88,107,glass_jar,5.0,none,71.15,vacuum_dried,27.44,80.44,31.0,non-viable,1306,yes
Bok_Choy_00004,Bok Choy,24.91,54.99,72,hermetic_foil,4.76,shallow,61.24,air-dried,22.79,80.66,58.83,low,945,yes
Bok_Choy_00005,Bok Choy,34.2,31.66,21,glass_jar,3.93,none,94.4,air-dried,23.93,68.4,79.08,medium,1342,no
Bok_Choy_00006,Bok Choy,32.59,80.29,122,hermetic_foil,7.58,none,66.62,silica_gel_dried,27.22,90.01,38.95,non-viable,72,yes
Bok_Choy_00007,Bok Choy,11.24,77.37,467,glass_jar,8.03,none,75.17,air-dried,25.81,75.02,40.31,low,10,yes
Bok_Choy_00008,Bok Choy,7.2,31.0,215,plastic,6.29,none,75.25,vacuum_dried,24.89,87.77,73.59,medium,2066,no
Bok_Choy_00009,Bok Choy,15.23,46.2,331,paper_envelope,8.63,shallow,67.26,silica_gel_dried,25.56,88.37,46.82,low,390,yes
Bok_Choy_00010,Bok Choy,16.96,27.23,459,paper_envelope,6.22,none,78.63,air-dried,18.94,66.12,51.49,low,1219,yes
Bok_Choy_00011,Bok Choy,6.28,81.1,88,plastic,10.44,physiological,78.0,silica_gel_dried,16.76,77.56,66.82,medium,1414,no
Bok_Choy_00012,Bok Choy,37.05,43.28,373,plastic,5.68,shallow,69.42,air-dried,24.34,73.44,26.44,non-viable,2242,yes
Bok_Choy_00013,Bok Choy,20.5,51.63,100,glass_jar,5.29,shallow,80.85,air-dried,18.36,65.42,82.45,medium,1918,no
Bok_Choy_00014,Bok Choy,40.99,43.32,131,glass_jar,4.9,shallow,86.38,air-dried,15.71,64.32,33.43,non-viable,1701,yes
Bok_Choy_00015,Bok Choy,33.07,42.32,309,paper_envelope,7.68,none,75.87,sun_dried,18.81,61.6,17.93,non-viable,489,yes
