seed_lot_id,species,storage_temperature,storage_relative_humidity,storage_duration_months,packaging_type,seed_moisture_content,dormancy_type,initial_viability,drying_method,germination_temperature,germination_relative_humidity,final_germination_percentage,viability_class,remaining_seed_stock,regeneration_needed
Chili_Pepper_00000,Chili Pepper,-0.99,77.58,176,foil,7.66,physiological,81.49,sun-dried,22.74,72.86,72.4,medium,10,yes
Chili_Pepper_00001,Chili Pepper,-0.65,59.55,197,paper,9.74,none,70.12,sun-dried,22.9,68.81,68.84,medium,1096,no
Chili_Pepper_00002,Chili Pepper,16.34,46.19,538,plastic,6.48,physiological,86.63,oven-dried,27.95,90.01,36.89,non-viable,637,yes
Chili_Pepper_00003,Chili Pepper,22.13,91.44,503,plastic,12.21,physiological,73.85,silica_gel_dried,29.81,66.06,0.73,non-viable,45,yes
Chili_Pepper_00004,Chili Pepper,19.5,80.78,580,foil,7.88,physiological,84.9,air-dried,33.53,80.2,27.07,non-viable,2325,yes
Chili_Pepper_00005,Chili Pepper,13.39,78.32,212,foil,7.11,none,96.96,oven-dried,34.03,70.04,83.62,medium,1026,no
Chili_Pepper_00006,Chili Pepper,26.66,32.47,349,vacuum,3.13,none,60.89,sun-dried,31.57,75.41,59.72,low,40,yes
Chili_Pepper_00007,Chili Pepper,15.54,86.59,186,foil,8.17,none,87.65,silica_gel_dried,26.06,86.22,53.98,low,1201,yes
Chili_Pepper_00008,Chili Pepper,38.53,33.12,399,vacuum,3.84,none,68.82,oven-dried,31.68,65.38,26.98,non-viable,702,yes
Chili_Pepper_00009,Chili Pepper,1.98,28.06,536,foil,3.0,none,90.57,oven-dried,30.58,60.99,52.26,low,2355,yes
Chili_Pepper_00010,Chili Pepper,0.21,74.13,585,plastic,10.24,physiological,66.76,sun-dried,23.74,68.51,23.74,non-viable,1822,yes
Chili_Pepper_00011,Chili Pepper,-3.12,85.13,346,foil,7.95,none,76.1,silica_gel_dried,22.63,66.83,63.62,low,2105,yes
Chili_Pepper_00012,Chili Pepper,10.44,25.37,367,foil,3.3,none,93.72,silica_gel_dried,28.06,88.89,91.49,high,2067,no
Chili_Pepper_00013,Chili Pepper,0.1,34.79,555,paper,7.43,none,82.81,air-dried,32.26,73.84,46.25,low,614,yes
Chili_Pepper_00014,Chili Pepper,2.85,66.39,168,paper,9.61,none,57.08,sun-dried,32.48,61.66,55.47,low,2064,yes
Chili_Pepper_00015,Chili Pepper,-1.7,79.58,69,plastic,8.98,none,62.54,silica_gel_dried,24.77,75.6,55.64,low,2379,yes
Chili_Pepper_00016,Chili Pepper,34.5,86.75,433,foil,8.24,physiological,68.35,silica_gel_dried,26.59,92.67,0.0,non-viable,2451,yes
Chili_Pepper_00017,Chili Pepper,8.38,65.28,392,paper,9.85,physiological,69.99,silica_gel_dried,30.75,83.87,43.71,low,1116,yes
Chili_Pepper_00018,Chili Pepper,13.05,41.69,513,plastic,5.85,physiological,59.26,air-dried,30.09,87.18,29.58,non-viable,344,yes
Chili_Pepper_00019,Chili Pepper,2.28,50.16,76,foil,4.75,none,87.81,air-dried,27.46,72.05,89.19,high,81,yes
Chili_Pepper_00020,Chili Pepper,39.71,24.95,251,vacuum,3.0,none,89.33,silica_gel_dried,26.1,92.95,39.51,non-viable,424,yes
Chili_Pepper_00021,Chili Pepper,39.25,81.31,7,vacuum,6.27,none,78.36,oven-dried,33.62,84.27,35.76,non-viable,2566,yes
Chili_Pepper_00022,Chili Pepper,4.14,66.87,445,paper,10.9,none,71.6,oven-dried,23.69,86.32,36.84,non-viable,2148,yes
Chili_Pepper_00023,Chili Pepper,3.12,37.5,45,foil,4.7,none,77.88,air-dried,25.8,68.72,76.74,medium,1494,no
Chili_Pepper_00024,Chili Pepper,40.08,36.14,326,foil,5.25,none,65.08,air-dried,23.26,81.07,0.6,non-viable,1524,yes
Chili_Pepper_00025,Chili Pepper,2.57,83.1,153,vacuum,7.91,none,73.62,oven-dried,20.67,94.3,63.45,low,1282,yes
Chili_Pepper_00026,Chili Pepper,25.65,86.53,184,vacuum,8.08,physiological,61.22,silica_gel_dried,23.17,62.52,33.81,non-viable,176,yes
Chili_Pepper_00027,Chili Pepper,35.32,46.62,113,paper,8.24,physiological,70.94,sun-dried,34.05,86.01,5.65,non-viable,2339,yes
Chili_Pepper_00028,Chili Pepper,-4.28,79.11,190,foil,7.44,morphological,70.41,silica_gel_dried,27.76,83.89,63.56,low,658,yes
Chili_Pepper_00029,Chili Pepper,6.34,91.7,291,paper,12.7,none,77.15,oven-dried,26.28,85.3,42.84,low,10,yes
Chili_Pepper_00030,Chili Pepper,1.16,20.05,313,plastic,4.35,morphological,84.05,silica_gel_dried,24.16,83.64,80.75,medium,524,no
Chili_Pepper_00031,Chili Pepper,-3.26,87.74,202,plastic,11.18,physiological,77.62,oven-dried,22.45,71.7,62.09,low,1122,yes
Chili_Pepper_00032,Chili Pepper,23.92,90.26,463,vacuum,9.25,physiological,63.14,oven-dried,24.12,78.06,6.07,non-viable,936,yes
Chili_Pepper_00033,Chili Pepper,-2.8,72.51,551,paper,9.54,none,70.37,silica_gel_dried,33.44,75.02,36.68,non-viable,115,yes
Chili_Pepper_00034,Chili Pepper,11.46,84.92,495,foil,8.84,none,70.4,air-dried,24.62,90.77,27.98,non-viable,815,yes
Chili_Pepper_00035,Chili Pepper,36.61,85.68,138,foil,7.67,none,67.23,oven-dried,29.18,74.13,0.0,non-viable,1620,yes
Chili_Pepper_00036,Chili Pepper,31.57,37.11,484,paper,7.17,morphological,75.38,oven-dried,31.91,90.17,0.0,non-viable,1713,yes
Chili_Pepper_00037,Chili Pepper,23.1,21.6,196,foil,3.18,physiological,62.64,air-dried,25.2,92.08,63.0,low,2742,yes
Chili_Pepper_00038,Chili Pepper,30.29,60.6,73,vacuum,6.6,physiological,88.38,sun-dried,27.68,64.93,64.03,low,649,yes
Chili_Pepper_00039,Chili Pepper,32.98,61.68,258,paper,9.22,none,70.92,oven-dried,21.12,84.51,0.56,non-viable,865,yes
Chili_Pepper_00040,Chili Pepper,4.61,66.95,401,paper,10.18,none,72.87,silica_gel_dried,33.74,60.54,46.7,low,1442,yes
Chili_Pepper_00041,Chili Pepper,9.59,36.11,375,plastic,5.89,physiological,99.0,silica_gel_dried,29.81,78.24,90.89,high,1533,no
Chili_Pepper_00042,Chili Pepper,33.7,31.45,350,foil,3.46,none,79.45,oven-dried,20.13,86.85,50.21,low,48,yes
Chili_Pepper_00043,Chili Pepper,34.72,54.68,584,paper,7.72,none,78.94,silica_gel_dried,26.67,89.76,0.0,non-viable,618,yes
Chili_Pepper_00044,Chili Pepper,37.49,31.39,280,vacuum,3.32,none,87.83,sun-dried,32.58,83.92,45.1,low,488,yes
Chili_Pepper_00045,Chili Pepper,12.2,57.1,523,plastic,8.22,physiological,94.59,silica_gel_dried,21.75,91.53,40.67,low,75,yes
Chili_Pepper_00046,Chili Pepper,17.0,26.53,449,paper,6.04,none,64.47,silica_gel_dried,29.35,91.68,36.91,non-viable,1090,yes
Chili_Pepper_00047,Chili Pepper,19.95,38.09,318,plastic,5.76,none,91.81,oven-dried,30.95,89.48,70.39,medium,1030,no
Chili_Pepper_00048,Chili Pepper,31.76,44.86,392,vacuum,5.35,morphological,88.91,oven-dried,30.62,88.17,54.7,low,2621,yes
Chili_Pepper_00049,Chili Pepper,12.21,59.29,152,plastic,7.56,none,82.49,sun-dried,20.57,79.68,79.62,medium,1858,no
Chili_Pepper_00050,Chili Pepper,24.23,26.07,93,foil,3.13,none,88.23,silica_gel_dried,24.9,61.32,87.59,high,829,no
Chili_Pepper_00051,Chili Pepper,-2.03,71.21,225,plastic,9.44,physiological,98.19,silica_gel_dried,22.35,87.88,97.43,high,667,no
Chili_Pepper_00052,Chili Pepper,-2.81,85.75,357,foil,8.24,physiological,85.9,sun-dried,29.21,66.06,72.73,medium,1896,no
Chili_Pepper_00053,Chili Pepper,30.37,88.0,482,foil,8.19,none,72.39,silica_gel_dried,31.2,92.98,1.02,non-viable,1595,yes
Chili_Pepper_00054,Chili Pepper,-2.56,50.7,580,plastic,6.34,none,92.58,air-dried,34.87,73.9,45.73,low,2416,yes
Chili_Pepper_00055,Chili Pepper,41.41,66.98,220,foil,7.32,none,75.01,silica_gel_dried,32.2,90.16,0.35,non-viable,520,yes
Chili_Pepper_00056,Chili Pepper,4.88,57.57,482,foil,5.1,none,66.75,sun-dried,32.53,63.76,45.89,low,1351,yes
Chili_Pepper_00057,Chili Pepper,19.36,51.69,20,plastic,6.85,none,73.69,oven-dried,24.93,67.29,73.1,medium,1469,no
Chili_Pepper_00058,Chili Pepper,12.48,91.02,517,vacuum,8.12,none,94.42,silica_gel_dried,29.3,83.39,31.41,non-viable,10,yes
Chili_Pepper_00059,Chili Pepper,23.05,57.13,34,foil,5.46,physiological,97.47,silica_gel_dried,25.14,79.14,92.42,high,912,no
Chili_Pepper_00060,Chili Pepper,-0.75,90.03,124,plastic,10.33,morphological,77.34,silica_gel_dried,33.2,73.2,61.7,low,1240,yes
Chili_Pepper_00061,Chili Pepper,31.32,27.29,287,vacuum,3.0,none,70.91,silica_gel_dried,34.83,88.54,68.0,medium,306,no
Chili_Pepper_00062,Chili Pepper,7.05,74.9,416,foil,5.5,none,73.88,silica_gel_dried,23.72,93.09,56.38,low,1916,yes
Chili_Pepper_00063,Chili Pepper,5.91,66.27,131,plastic,8.33,none,69.02,air-dried,21.77,64.06,67.99,medium,1507,no
Chili_Pepper_00064,Chili Pepper,39.0,45.24,84,foil,5.52,none,89.64,sun-dried,24.16,92.85,42.44,low,2941,yes
Chili_Pepper_00065,Chili Pepper,9.07,88.33,403,plastic,10.65,physiological,84.36,sun-dried,30.54,87.92,42.63,low,1248,yes
Chili_Pepper_00066,Chili Pepper,-2.34,25.35,22,vacuum,3.0,none,80.54,silica_gel_dried,32.31,81.24,79.69,medium,819,no
Chili_Pepper_00067,Chili Pepper,5.13,47.96,580,foil,5.32,none,76.07,air-dried,25.45,94.0,37.5,non-viable,516,yes
Chili_Pepper_00068,Chili Pepper,34.86,42.61,204,foil,5.22,none,68.29,air-dried,33.07,78.2,38.22,non-viable,2320,yes
Chili_Pepper_00069,Chili Pepper,36.13,74.5,48,plastic,9.59,morphological,86.59,oven-dried,22.67,75.07,25.63,non-viable,1064,yes
Chili_Pepper_00070,Chili Pepper,34.45,66.97,525,foil,6.62,physiological,63.32,sun-dried,23.34,79.44,0.0,non-viable,10,yes
Chili_Pepper_00071,Chili Pepper,31.97,86.15,350,vacuum,8.72,none,76.86,silica_gel_dried,23.09,89.77,1.08,non-viable,1506,yes
Chili_Pepper_00072,Chili Pepper,-3.82,30.46,108,foil,3.0,none,60.91,air-dried,24.79,76.39,59.34,low,2653,yes
Chili_Pepper_00073,Chili Pepper,33.25,22.91,394,foil,3.0,physiological,79.7,oven-dried,23.11,74.34,55.61,low,704,yes
Chili_Pepper_00074,Chili Pepper,14.39,59.93,277,vacuum,5.83,physiological,88.7,air-dried,23.56,64.98,84.54,medium,1811,no
Chili_Pepper_00075,Chili Pepper,40.94,84.69,310,paper,12.52,physiological,93.51,air-dried,32.11,70.3,0.0,non-viable,1277,yes
Chili_Pepper_00076,Chili Pepper,12.99,20.03,36,vacuum,3.0,none,61.13,air-dried,25.63,63.32,62.17,low,2631,yes
Chili_Pepper_00077,Chili Pepper,24.09,50.86,261,vacuum,4.78,physiological,74.72,oven-dried,24.11,73.5,61.05,low,1103,yes
Chili_Pepper_00078,Chili Pepper,39.6,20.57,457,foil,3.45,morphological,78.81,oven-dried,32.12,80.65,25.76,non-viable,10,yes
Chili_Pepper_00079,Chili Pepper,26.87,30.08,475,foil,3.02,none,93.08,silica_gel_dried,28.78,68.61,68.19,medium,2308,no
Chili_Pepper_00080,Chili Pepper,20.86,47.66,567,plastic,7.63,morphological,71.56,silica_gel_dried,21.88,67.0,27.82,non-viable,1481,yes
Chili_Pepper_00081,Chili Pepper,10.05,24.34,556,vacuum,3.0,physiological,82.66,sun-dried,33.09,87.98,44.95,low,1116,yes
Chili_Pepper_00082,Chili Pepper,25.43,49.25,216,paper,8.86,none,81.89,oven-dried,21.63,86.21,56.72,low,10,yes
Chili_Pepper_00083,Chili Pepper,16.24,38.3,435,vacuum,5.21,none,82.65,oven-dried,30.44,66.74,60.84,low,1428,yes
Chili_Pepper_00084,Chili Pepper,12.63,87.02,40,vacuum,7.27,none,81.27,air-dried,21.78,78.52,65.96,medium,2226,no
Chili_Pepper_00085,Chili Pepper,17.67,73.76,132,vacuum,6.86,none,70.19,silica_gel_dried,21.19,68.24,65.73,medium,1064,no
Chili_Pepper_00086,Chili Pepper,17.78,47.05,414,paper,7.39,none,91.26,oven-dried,25.71,72.89,54.35,low,2469,yes
Chili_Pepper_00087,Chili Pepper,8.48,42.78,461,vacuum,4.26,none,68.03,silica_gel_dried,26.61,74.05,50.21,low,813,yes
Chili_Pepper_00088,Chili Pepper,7.6,41.23,567,vacuum,4.03,none,68.99,sun-dried,34.75,81.08,42.08,low,2474,yes
Chili_Pepper_00089,Chili Pepper,38.66,59.87,374,vacuum,6.18,none,87.38,silica_gel_dried,31.52,74.76,0.0,non-viable,876,yes
Chili_Pepper_00090,Chili Pepper,27.17,77.74,45,vacuum,6.53,none,87.19,air-dried,24.54,84.57,70.52,medium,1322,no
Chili_Pepper_00091,Chili Pepper,16.6,23.5,496,paper,6.09,none,95.38,oven-dried,32.38,65.92,50.96,low,1263,yes
Chili_Pepper_00092,Chili Pepper,24.62,78.4,198,vacuum,6.51,none,72.43,oven-dried,31.84,72.91,48.56,low,2438,yes
Chili_Pepper_00093,Chili Pepper,35.07,26.14,101,vacuum,3.37,none,67.49,air-dried,25.23,78.86,50.84,low,768,yes
Chili_Pepper_00094,Chili Pepper,-3.51,59.73,181,plastic,7.89,none,96.88,air-dried,30.52,72.68,94.3,high,1835,no
