seed_lot_id,species,storage_temperature,storage_relative_humidity,storage_duration_months,packaging_type,seed_moisture_content,dormancy_type,initial_viability,drying_method,germination_temperature,germination_relative_humidity,final_germination_percentage,viability_class,remaining_seed_stock,regeneration_needed
Eggplant_00000,Eggplant,12.42,45.11,339,plastic,7.6,none,67.44,oven-dried,26.11,78.58,45.55,low,1576,yes
Eggplant_00001,Eggplant,28.38,86.21,177,plastic,10.85,none,74.69,sun-dried,27.43,81.25,0.0,non-viable,972,yes
Eggplant_00002,Eggplant,-4.78,25.77,75,foil,4.12,physiological,68.04,air-dried,34.45,61.3,68.5,medium,2055,no
Eggplant_00003,Eggplant,32.63,67.92,529,plastic,9.7,none,83.05,sun-dried,32.01,85.03,2.22,non-viable,10,yes
Eggplant_00004,Eggplant,12.28,86.97,154,vacuum,9.08,none,53.7,sun-dried,28.72,75.54,30.38,non-viable,1432,yes
Eggplant_00005,Eggplant,34.53,57.69,245,foil,5.83,none,90.76,oven-dried,29.66,61.18,17.3,non-viable,634,yes
Eggplant_00006,Eggplant,41.11,72.06,439,plastic,8.52,none,89.72,air-dried,33.12,76.61,0.0,non-viable,1660,yes
Eggplant_00007,Eggplant,33.64,81.32,230,foil,7.96,physiological,85.12,oven-dried,33.15,61.58,1.1,non-viable,1736,yes
Eggplant_00008,Eggplant,4.47,58.55,587,plastic,8.62,physiological,96.3,silica_gel_dried,33.07,82.68,31.89,non-viable,159,yes
Eggplant_00009,Eggplant,2.28,36.14,161,glass_jar,4.74,none,66.98,air-dried,29.54,70.02,65.61,medium,832,no
Eggplant_00010,Eggplant,5.21,81.87,150,plastic,9.74,none,59.84,sun-dried,27.8,75.67,44.11,low,503,yes
Eggplant_00011,Eggplant,41.46,53.65,404,plastic,7.86,none,72.33,air-dried,23.87,74.84,2.65,non-viable,509,yes
Eggplant_00012,Eggplant,0.13,56.7,140,foil,5.63,physiological,72.1,oven-dried,27.9,91.54,74.33,medium,1263,no
Eggplant_00013,Eggplant,26.64,68.92,471,foil,6.18,physiological,82.15,oven-dried,32.17,70.6,41.17,low,378,yes
Eggplant_00014,Eggplant,7.3,27.78,76,vacuum,3.46,physiological,78.84,oven-dried,31.23,72.54,75.75,medium,2005,no
Eggplant_00015,Eggplant,30.42,68.44,2,glass_jar,8.04,none,97.43,oven-dried,22.37,75.28,94.22,high,873,no
Eggplant_00016,Eggplant,-3.32,77.9,281,plastic,8.97,physiological,95.31,oven-dried,23.34,78.8,82.55,medium,1260,no
Eggplant_00017,Eggplant,17.93,52.56,413,vacuum,5.17,none,68.85,air-dried,22.79,65.99,43.92,low,172,yes
Eggplant_00018,Eggplant,0.23,41.64,12,vacuum,4.36,morphological,93.04,silica_gel_dried,34.13,91.92,93.71,high,1647,no
