seed_lot_id,species,storage_temperature,storage_relative_humidity,storage_duration_months,packaging_type,seed_moisture_content,dormancy_type,initial_viability,drying_method,germination_temperature,germination_relative_humidity,final_germination_percentage,viability_class,remaining_seed_stock,regeneration_needed
Bok_Choy_00000,Bok Choy,11.85,46.15,86,hermetic_foil,3.76,none,94.09,silica_gel_dried,22.6,68.8,93.62,high,892,no
Bok_Choy_00001,Bok Choy,37.78,43.3,2,hermetic_foil,5.37,none,96.44,silica_gel_dried,17.0,71.6,94.87,high,3668,no
Bok_Choy_00002,Bok Choy,27.94,32.33,132,plastic,5.97,shallow,99.0,silica_gel_dried,23.5,90.8,98.77,high,3481,no
Bok_Choy_00003,Bok Choy,21.94,62.51,45,paper_envelope,9.76,physiological,75.94,air-dried,19.3,77.2,71.81,medium,647,no
Bok_Choy_00004,Bok Choy,2.02,53.36,13,hermetic_foil,5.91,physiological,86.57,vacuum_dried,29.9,80.7,83.8,medium,1222,no
Bok_Choy_00005,Bok Choy,2.02,80.6,55,glass_jar,8.49,none,96.24,air-dried,20.4,80.1,97.59,high,3182,no
Bok_Choy_00006,Bok Choy,-2.39,22.25,22,paper_envelope,5.16,shallow,75.09,air-dried,27.3,82.6,72.32,medium,4871,no
Bok_Choy_00007,Bok Choy,33.98,65.07,89,paper_envelope,9.34,shallow,75.27,sun_dried,18.7,80.6,1.51,non-viable,3963,yes
Bok_Choy_00008,Bok Choy,22.05,73.41,55,plastic,8.89,none,81.12,vacuum_dried,17.8,84.3,81.19,medium,1330,no
Bok_Choy_00009,Bok Choy,26.86,73.16,136,hermetic_foil,8.05,none,86.07,silica_gel_dried,18.3,65.2,83.93,medium,3575,no
Bok_Choy_00010,Bok Choy,-4.07,82.03,97,paper_envelope,12.34,none,86.12,air-dried,20.0,84.9,80.99,medium,3861,no
Bok_Choy_00011,Bok Choy,38.65,71.03,138,glass_jar,7.75,physiological,93.58,silica_gel_dried,27.7,65.3,0.0,non-viable,3718,yes
Bok_Choy_00012,Bok Choy,32.46,84.95,19,plastic,9.83,none,82.31,air-dried,26.5,71.9,82.3,medium,1831,no
Bok_Choy_00013,Bok Choy,4.56,43.29,128,paper_envelope,7.71,none,80.79,silica_gel_dried,21.5,89.1,87.43,high,1880,no
Bok_Choy_00014,Bok Choy,3.18,55.22,142,hermetic_foil,5.61,shallow,96.82,air-dried,17.8,81.3,97.72,high,2260,no
Bok_Choy_00015,Bok Choy,3.25,20.99,67,paper_envelope,7.41,shallow,88.23,air-dried,15.7,93.9,88.39,high,2473,no
Bok_Choy_00016,Bok Choy,8.69,20.49,61,hermetic_foil,3.0,none,70.35,sun_dried,24.3,68.8,71.81,medium,2837,no
Bok_Choy_00017,Bok Choy,18.61,36.81,63,plastic,5.55,shallow,87.49,air-dried,25.6,92.2,88.31,high,1708,no
Bok_Choy_00018,Bok Choy,14.44,27.06,105,plastic,5.61,none,85.14,silica_gel_dried,24.1,82.5,89.05,high,3571,no
Bok_Choy_00019,Bok Choy,8.11,38.21,104,plastic,6.96,physiological,97.11,vacuum_dried,22.5,72.9,97.06,high,4639,no
Bok_Choy_00020,Bok Choy,22.53,32.39,139,hermetic_foil,3.57,none,92.18,vacuum_dried,29.6,87.5,94.49,high,1570,no
Bok_Choy_00021,Bok Choy,1.28,22.0,134,glass_jar,4.09,none,94.35,air-dried,15.4,93.4,94.63,high,672,no
Bok_Choy_00022,Bok Choy,8.15,83.65,34,plastic,10.37,none,83.48,air-dried,29.8,87.3,84.22,medium,4148,no
Bok_Choy_00023,Bok Choy,11.49,20.58,99,plastic,4.54,shallow,99.0,silica_gel_dried,19.1,60.2,99.0,high,2477,no
Bok_Choy_00024,Bok Choy,15.52,71.53,64,plastic,8.59,shallow,94.9,vacuum_dried,20.7,60.4,91.78,high,1563,no
Bok_Choy_00025,Bok Choy,30.33,30.65,87,glass_jar,4.47,none,88.72,silica_gel_dried,26.3,64.4,90.79,high,1860,no
Bok_Choy_00026,Bok Choy,3.99,83.86,81,hermetic_foil,7.66,none,96.13,vacuum_dried,18.4,89.8,94.54,high,3015,no
Bok_Choy_00027,Bok Choy,18.14,82.5,66,glass_jar,7.63,none,74.9,sun_dried,25.6,86.3,76.85,medium,3238,no
Bok_Choy_00028,Bok Choy,21.66,65.77,83,hermetic_foil,6.78,none,99.0,air-dried,20.0,82.4,97.49,high,2620,no
Bok_Choy_00029,Bok Choy,-2.91,67.06,92,hermetic_foil,6.34,shallow,83.03,air-dried,29.1,84.3,81.96,medium,2035,no
Bok_Choy_00030,Bok Choy,22.34,20.37,136,paper_envelope,5.9,none,81.82,air-dried,17.6,81.7,80.17,medium,1264,no
Bok_Choy_00031,Bok Choy,2.67,88.94,38,glass_jar,9.9,none,88.34,sun_dried,29.0,72.2,85.14,high,1220,no
Bok_Choy_00032,Bok Choy,-2.07,81.45,130,hermetic_foil,8.52,physiological,90.33,air-dried,26.9,85.2,91.48,high,1110,no
Bok_Choy_00033,Bok Choy,37.7,82.66,125,plastic,10.96,none,90.7,air-dried,17.6,92.7,0.0,non-viable,1367,yes
Bok_Choy_00034,Bok Choy,38.45,66.15,41,plastic,8.94,none,92.37,air-dried,20.8,86.2,0.0,non-viable,2620,yes
Bok_Choy_00035,Bok Choy,31.38,44.14,19,hermetic_foil,3.28,none,81.89,sun_dried,16.6,90.4,82.65,medium,1714,no
Bok_Choy_00036,Bok Choy,8.71,82.56,105,glass_jar,8.58,physiological,93.16,air-dried,24.0,68.3,93.22,high,4742,no
