seed_lot_id,species,storage_temperature,storage_relative_humidity,storage_duration_months,packaging_type,seed_moisture_content,dormancy_type,initial_viability,drying_method,germination_temperature,germination_relative_humidity,final_germination_percentage,viability_class,remaining_seed_stock,regeneration_needed
Chili_Pepper_00000,Chili Pepper,-1.41,82.88,139,vacuum,7.41,none,77.02,silica_gel_dried,24.87,86.26,78.55,medium,921,no
Chili_Pepper_00001,Chili Pepper,31.66,24.83,33,paper,6.1,none,68.13,sun-dried,20.56,69.65,70.97,medium,622,no
Chili_Pepper_00002,Chili Pepper,15.61,82.29,59,vacuum,7.8,none,81.77,silica_gel_dried,29.85,81.31,81.44,medium,1239,no
Chili_Pepper_00003,Chili Pepper,29.0,72.67,27,plastic,9.6,physiological,90.63,oven-dried,23.16,84.46,90.64,high,152,no
Chili_Pepper_00004,Chili Pepper,40.97,77.78,98,vacuum,8.0,none,94.47,air-dried,23.74,75.5,0.78,non-viable,1767,yes
Chili_Pepper_00005,Chili Pepper,20.31,32.91,59,foil,3.0,none,73.16,air-dried,26.4,60.8,69.89,medium,1114,no
Chili_Pepper_00006,Chili Pepper,18.55,85.36,12,plastic,9.04,none,87.02,silica_gel_dried,32.44,70.3,90.28,high,1748,no
Chili_Pepper_00007,Chili Pepper,-1.61,49.76,137,plastic,6.32,none,73.84,oven-dried,25.42,64.81,75.7,medium,2243,no
Chili_Pepper_00008,Chili Pepper,7.62,86.17,105,foil,8.11,physiological,91.42,silica_gel_dried,26.55,75.48,93.75,high,2418,no
Chili_Pepper_00009,Chili Pepper,18.49,67.66,4,vacuum,6.16,physiological,65.55,air-dried,28.06,84.12,68.76,medium,1072,no
Chili_Pepper_00010,Chili Pepper,26.92,90.01,105,foil,8.1,morphological,85.99,silica_gel_dried,26.91,93.95,82.94,medium,1082,no
Chili_Pepper_00011,Chili Pepper,32.78,86.92,78,foil,7.4,none,63.57,air-dried,23.26,94.49,35.65,non-viable,1264,yes
Chili_Pepper_00012,Chili Pepper,12.9,20.63,135,plastic,4.53,physiological,90.71,air-dried,33.52,94.58,91.13,high,1359,no
Chili_Pepper_00013,Chili Pepper,-1.9,56.06,114,vacuum,5.23,none,86.86,air-dried,21.87,68.95,89.14,high,2689,no
Chili_Pepper_00014,Chili Pepper,8.54,63.75,25,plastic,8.75,none,89.87,silica_gel_dried,20.38,61.39,89.86,high,2399,no
Chili_Pepper_00015,Chili Pepper,37.75,91.3,62,vacuum,9.42,none,67.14,air-dried,33.16,72.44,0.0,non-viable,2073,yes
Chili_Pepper_00016,Chili Pepper,5.03,84.81,52,paper,12.59,none,67.59,air-dried,28.06,84.38,65.29,medium,697,no
Chili_Pepper_00017,Chili Pepper,16.25,63.43,56,vacuum,5.21,none,67.36,air-dried,20.81,64.63,64.29,low,1357,yes
Chili_Pepper_00018,Chili Pepper,38.77,86.6,35,foil,8.12,morphological,90.69,oven-dried,27.42,81.51,0.22,non-viable,1679,yes
Chili_Pepper_00019,Chili Pepper,-3.83,88.46,83,vacuum,7.11,none,88.29,air-dried,25.52,62.83,89.92,high,1616,no
Chili_Pepper_00020,Chili Pepper,23.23,78.47,55,foil,8.3,none,72.52,sun-dried,31.68,92.06,73.47,medium,2133,no
Chili_Pepper_00021,Chili Pepper,39.66,30.88,53,plastic,4.65,physiological,85.05,air-dried,29.84,77.28,79.95,medium,2288,no
Chili_Pepper_00022,Chili Pepper,5.82,20.57,143,vacuum,3.0,none,72.15,silica_gel_dried,29.95,63.39,77.09,medium,1932,no
Chili_Pepper_00023,Chili Pepper,20.78,48.17,58,vacuum,4.4,none,79.53,silica_gel_dried,31.75,75.15,80.3,medium,2099,no
Chili_Pepper_00024,Chili Pepper,37.73,54.03,24,plastic,8.64,physiological,60.2,sun-dried,26.46,64.89,0.27,non-viable,1107,yes
Chili_Pepper_00025,Chili Pepper,1.26,63.27,59,plastic,8.5,physiological,77.66,silica_gel_dried,30.53,77.68,74.62,medium,1387,no
Chili_Pepper_00026,Chili Pepper,19.6,45.19,125,plastic,6.55,physiological,73.54,oven-dried,29.98,70.28,74.68,medium,1937,no
Chili_Pepper_00027,Chili Pepper,30.27,41.02,31,plastic,5.98,none,78.76,oven-dried,20.6,83.18,77.93,medium,1366,no
Chili_Pepper_00028,Chili Pepper,26.44,54.65,91,plastic,7.5,physiological,77.56,air-dried,29.88,92.57,76.98,medium,2035,no
Chili_Pepper_00029,Chili Pepper,16.98,20.81,91,foil,3.0,none,87.36,oven-dried,26.4,91.94,87.77,high,1558,no
Chili_Pepper_00030,Chili Pepper,4.63,53.41,124,plastic,8.59,physiological,94.36,oven-dried,22.88,93.49,96.5,high,823,no
Chili_Pepper_00031,Chili Pepper,18.07,53.08,42,paper,8.09,morphological,74.06,air-dried,22.43,80.58,77.37,medium,1724,no
Chili_Pepper_00032,Chili Pepper,12.5,23.51,121,foil,3.0,physiological,88.49,oven-dried,25.11,63.15,88.84,high,472,no
