seed_lot_id,species,storage_temperature,storage_relative_humidity,storage_duration_months,packaging_type,seed_moisture_content,dormancy_type,initial_viability,drying_method,germination_temperature,germination_relative_humidity,final_germination_percentage,viability_class,remaining_seed_stock,regeneration_needed
Eggplant_00000,Eggplant,31.55,42.46,89,paper,8.61,none,95.21,air-dried,22.73,75.15,0.0,non-viable,1991,yes
Eggplant_00001,Eggplant,6.16,45.73,123,vacuum,4.09,none,76.65,air-dried,23.69,81.24,78.58,medium,2172,no
Eggplant_00002,Eggplant,33.74,28.57,41,plastic,5.37,none,78.34,air-dried,32.1,87.45,79.22,medium,2037,no
Eggplant_00003,Eggplant,40.39,36.17,115,paper,8.08,physiological,63.5,sun-dried,27.41,71.21,0.59,non-viable,414,yes
Eggplant_00004,Eggplant,40.71,34.76,8,foil,4.66,none,62.14,sun-dried,26.52,67.67,60.23,low,1206,yes
Eggplant_00005,Eggplant,16.31,38.66,67,vacuum,4.32,physiological,81.16,air-dried,30.89,69.07,79.75,medium,716,no
Eggplant_00006,Eggplant,23.62,70.3,44,plastic,8.9,none,79.74,oven-dried,25.55,66.24,77.42,medium,1532,no
Eggplant_00007,Eggplant,31.45,78.24,62,plastic,9.21,none,93.41,silica_gel_dried,33.56,90.1,0.0,non-viable,379,yes
Eggplant_00008,Eggplant,25.16,85.31,139,paper,12.27,physiological,69.66,air-dried,22.58,77.27,0.0,non-viable,2655,yes
Eggplant_00009,Eggplant,28.93,76.16,43,glass_jar,7.97,physiological,95.3,oven-dried,23.25,66.42,98.23,high,1448,no
Eggplant_00010,Eggplant,-3.35,26.96,83,plastic,5.45,none,61.45,oven-dried,27.01,62.27,60.91,low,2563,yes
Eggplant_00011,Eggplant,9.03,43.37,42,plastic,7.64,none,99.0,air-dried,30.53,94.05,98.17,high,407,no
Eggplant_00012,Eggplant,-2.25,82.24,38,foil,9.34,none,61.78,air-dried,32.22,78.29,55.53,low,781,yes
Eggplant_00013,Eggplant,35.28,72.04,69,vacuum,7.41,none,82.38,air-dried,26.93,83.73,0.0,non-viable,213,yes
Eggplant_00014,Eggplant,12.52,63.48,22,paper,11.09,physiological,87.71,silica_gel_dried,33.58,92.19,87.15,high,932,no
Eggplant_00015,Eggplant,26.95,65.91,144,vacuum,6.45,none,64.61,silica_gel_dried,29.52,93.4,63.16,low,294,yes
Eggplant_00016,Eggplant,7.05,68.62,36,plastic,8.45,physiological,85.37,air-dried,25.93,76.41,84.55,medium,2846,no
Eggplant_00017,Eggplant,11.34,44.66,98,foil,3.9,none,73.45,oven-dried,27.85,82.96,70.79,medium,1295,no
Eggplant_00018,Eggplant,-4.56,64.88,117,foil,7.03,none,75.86,oven-dried,29.47,89.39,75.4,medium,282,no
Eggplant_00019,Eggplant,11.84,77.98,75,plastic,9.93,none,87.98,silica_gel_dried,29.07,60.07,87.89,high,1788,no
Eggplant_00020,Eggplant,39.61,87.94,85,plastic,11.09,none,85.66,air-dried,33.44,66.71,0.0,non-viable,1602,yes
Eggplant_00021,Eggplant,5.24,38.1,60,plastic,7.76,none,62.43,silica_gel_dried,31.49,78.81,59.89,low,2106,yes
Eggplant_00022,Eggplant,10.01,32.7,92,paper,7.2,none,81.85,air-dried,30.43,75.83,83.62,medium,141,yes
Eggplant_00023,Eggplant,38.14,90.78,96,vacuum,10.23,none,68.12,sun-dried,25.51,60.93,2.69,non-viable,2087,yes
Eggplant_00024,Eggplant,-3.5,55.63,91,foil,5.07,physiological,70.07,air-dried,33.01,93.05,70.17,medium,1153,no
Eggplant_00025,Eggplant,-1.94,66.83,126,plastic,8.48,physiological,87.6,oven-dried,34.75,87.03,86.02,high,2418,no
Eggplant_00026,Eggplant,24.6,56.49,37,vacuum,5.68,none,64.64,silica_gel_dried,28.91,69.55,66.59,medium,2818,no
Eggplant_00027,Eggplant,36.07,87.35,11,paper,12.76,none,64.44,sun-dried,24.74,86.4,0.47,non-viable,2342,yes
Eggplant_00028,Eggplant,-4.59,53.81,106,plastic,8.95,physiological,58.66,oven-dried,33.78,76.43,58.82,low,221,yes
Eggplant_00029,Eggplant,30.09,73.19,37,paper,9.77,physiological,78.09,sun-dried,28.58,68.85,11.4,non-viable,372,yes
Eggplant_00030,Eggplant,33.2,89.86,15,plastic,11.02,none,87.26,oven-dried,30.7,81.89,11.63,non-viable,1227,yes
Eggplant_00031,Eggplant,-1.44,80.45,113,foil,8.03,none,69.48,air-dried,24.56,68.63,70.57,medium,2499,no
Eggplant_00032,Eggplant,25.85,70.03,107,glass_jar,7.99,none,89.54,air-dried,32.11,69.46,78.95,medium,2051,no
Eggplant_00033,Eggplant,18.94,86.45,29,paper,12.25,none,98.66,silica_gel_dried,24.75,68.8,95.75,high,233,no
Eggplant_00034,Eggplant,17.55,34.91,92,plastic,5.13,none,75.87,silica_gel_dried,25.9,66.8,76.04,medium,456,no
Eggplant_00035,Eggplant,39.91,36.14,17,vacuum,3.55,none,87.76,air-dried,22.25,75.93,87.4,high,2307,no
Eggplant_00036,Eggplant,-5.0,61.68,135,paper,8.69,none,55.44,sun-dried,23.48,63.35,56.99,low,1626,yes
Eggplant_00037,Eggplant,6.61,56.92,98,plastic,9.08,none,89.45,air-dried,25.82,72.47,85.1,high,1512,no
Eggplant_00038,Eggplant,28.47,30.86,33,plastic,5.74,none,66.7,air-dried,34.77,72.8,65.84,medium,2048,no
Eggplant_00039,Eggplant,10.26,85.46,122,plastic,11.22,none,80.63,oven-dried,27.58,74.73,82.69,medium,1158,no
Eggplant_00040,Eggplant,8.02,43.81,116,plastic,6.77,none,63.27,oven-dried,33.76,63.11,61.56,low,615,yes
Eggplant_00041,Eggplant,27.69,51.31,123,vacuum,5.55,physiological,95.03,oven-dried,30.64,76.69,94.86,high,907,no
Eggplant_00042,Eggplant,38.17,89.0,20,glass_jar,9.73,none,62.54,silica_gel_dried,26.34,82.66,2.23,non-viable,144,yes
Eggplant_00043,Eggplant,6.49,49.5,99,vacuum,5.07,physiological,76.56,silica_gel_dried,29.4,75.95,76.77,medium,2476,no
Eggplant_00044,Eggplant,16.53,26.43,133,foil,4.03,none,97.41,air-dried,24.65,61.43,99.0,high,116,yes
Eggplant_00045,Eggplant,6.89,91.09,94,plastic,11.16,none,57.75,air-dried,27.86,94.17,57.38,low,1334,yes
Eggplant_00046,Eggplant,12.83,88.23,53,vacuum,8.44,none,80.43,silica_gel_dried,24.3,93.58,79.1,medium,753,no
Eggplant_00047,Eggplant,23.41,77.21,45,paper,12.1,physiological,87.15,oven-dried,34.03,89.99,47.05,low,1943,yes
Eggplant_00048,Eggplant,31.3,21.82,12,plastic,5.5,none,76.15,sun-dried,33.76,94.2,75.26,medium,372,no
Eggplant_00049,Eggplant,-1.81,50.37,25,glass_jar,5.71,none,79.98,oven-dried,24.66,75.15,78.63,medium,113,yes
Eggplant_00050,Eggplant,27.25,65.5,26,plastic,7.71,none,70.54,oven-dried,27.97,90.01,74.12,medium,1872,no
Eggplant_00051,Eggplant,20.77,86.15,97,vacuum,8.52,physiological,83.56,air-dried,30.18,60.96,78.36,medium,1944,no
Eggplant_00052,Eggplant,1.49,65.79,69,vacuum,6.41,none,80.84,oven-dried,26.35,87.18,78.1,medium,879,no
Eggplant_00053,Eggplant,-0.36,31.4,72,vacuum,3.61,none,77.14,air-dried,28.02,93.98,80.0,medium,2933,no
Eggplant_00054,Eggplant,6.54,87.12,107,paper,12.6,morphological,87.68,sun-dried,24.97,90.72,87.5,high,1073,no
Eggplant_00055,Eggplant,2.13,49.81,131,vacuum,4.59,none,66.39,silica_gel_dried,29.5,71.46,67.73,medium,1451,no
Eggplant_00056,Eggplant,38.52,67.71,1,foil,6.78,none,68.98,air-dried,23.37,73.02,71.29,medium,2636,no
Eggplant_00057,Eggplant,26.96,73.48,82,foil,7.14,none,85.49,oven-dried,23.63,92.67,88.98,high,2485,no
Eggplant_00058,Eggplant,6.17,43.47,83,vacuum,4.46,none,69.72,silica_gel_dried,32.99,74.75,72.6,medium,295,no
Eggplant_00059,Eggplant,21.74,86.31,130,paper,11.62,none,72.46,sun-dried,23.25,70.67,4.32,non-viable,280,yes
Eggplant_00060,Eggplant,21.16,87.06,42,foil,8.42,physiological,87.05,silica_gel_dried,33.31,88.74,87.45,high,1223,no
Eggplant_00061,Eggplant,-1.58,72.76,77,foil,7.69,none,58.27,silica_gel_dried,23.34,63.18,59.14,low,2387,yes
Eggplant_00062,Eggplant,34.47,68.05,75,vacuum,6.22,none,68.72,sun-dried,31.72,87.65,35.7,non-viable,1208,yes
Eggplant_00063,Eggplant,14.05,86.58,62,glass_jar,8.75,physiological,79.85,air-dried,24.91,74.2,83.68,medium,1959,no
Eggplant_00064,Eggplant,1.81,78.37,131,foil,7.85,none,81.44,air-dried,32.81,69.15,83.02,medium,6,yes
Eggplant_00065,Eggplant,3.97,77.01,81,paper,11.72,morphological,74.56,sun-dried,33.73,70.57,77.93,medium,2402,no
Eggplant_00066,Eggplant,18.06,28.24,66,plastic,5.39,physiological,63.57,silica_gel_dried,22.33,60.02,63.44,low,93,yes
Eggplant_00067,Eggplant,28.47,54.84,3,foil,5.38,none,81.09,oven-dried,27.7,73.37,80.25,medium,592,no
Eggplant_00068,Eggplant,41.29,31.55,98,foil,3.71,none,70.43,sun-dried,32.32,83.01,68.93,medium,496,no
Eggplant_00069,Eggplant,36.11,25.34,135,plastic,4.57,morphological,90.57,oven-dried,28.58,75.91,83.05,medium,1974,no
Eggplant_00070,Eggplant,18.45,91.97,57,vacuum,9.81,none,55.03,sun-dried,28.4,89.66,57.9,low,2831,yes
Eggplant_00071,Eggplant,0.02,50.91,131,vacuum,4.67,physiological,72.03,air-dried,28.64,93.08,70.72,medium,1363,no
Eggplant_00072,Eggplant,37.92,87.02,120,plastic,8.67,physiological,75.7,air-dried,26.55,77.24,0.0,non-viable,2158,yes
Eggplant_00073,Eggplant,12.15,22.03,88,foil,3.0,physiological,62.9,air-dried,26.79,89.14,63.43,low,1709,yes
Eggplant_00074,Eggplant,5.65,40.27,49,plastic,6.05,none,69.27,silica_gel_dried,25.04,60.93,69.55,medium,860,no
Eggplant_00075,Eggplant,36.0,62.29,48,glass_jar,6.72,none,72.0,sun-dried,28.9,60.51,18.88,non-viable,47,yes
Eggplant_00076,Eggplant,1.41,31.5,52,foil,3.67,none,89.62,oven-dried,22.45,86.9,91.63,high,1535,no
Eggplant_00077,Eggplant,6.11,65.97,91,foil,6.08,physiological,86.15,sun-dried,34.2,77.99,83.69,medium,656,no
Eggplant_00078,Eggplant,22.98,51.37,119,paper,8.56,morphological,73.86,silica_gel_dried,31.41,71.22,73.29,medium,1151,no
Eggplant_00079,Eggplant,21.5,89.16,105,plastic,10.36,none,55.48,oven-dried,22.28,77.11,27.48,non-viable,1900,yes
Eggplant_00080,Eggplant,40.07,20.11,57,paper,5.22,none,94.03,oven-dried,33.11,80.4,14.48,non-viable,2019,yes
Eggplant_00081,Eggplant,16.3,48.78,116,glass_jar,6.01,physiological,73.27,silica_gel_dried,34.74,65.21,76.36,medium,1137,no
Eggplant_00082,Eggplant,1.06,28.42,57,paper,7.11,physiological,83.22,silica_gel_dried,22.78,82.21,82.07,medium,2196,no
Eggplant_00083,Eggplant,30.75,46.56,83,plastic,6.72,none,73.0,oven-dried,27.63,68.18,71.21,medium,2067,no
